"Scenario","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PDoesntFile","P Files","DDoesntAnswer","D Answers","Settles1","DoesntSettle1","PAbandons1","PDoesntAbandon1","DDefaults1","DDoesntDefault1","POrDQuits1","Settles2","DoesntSettle2","PAbandons2","PDoesntAbandon2","DDefaults2","DDoesntDefault2","POrDQuits2","P Loses","P Wins"
"CostsMult0","Truly Liable MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CostsMult0","Truly Liable MutOptLiability4",0.0002,0,0.0002,0.5,1,1,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,1,1,1100000,900000,1100000,900000,0,0,0,0,0,0,,0,0,0,1,0,4,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
"CostsMult0","Truly Liable MutOptLiability3",0.0128,0,0.0128,0.580729,1,1,0,0,,,,,0,,,,,0,0,0.109375,0.15625,,,,,0,,,,,0,0,1,0.640625,1064060,935938,1064060,935938,0,0,35937.5,0,0,0,,0,0,0,1,0,3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.359375,0.640625
"CostsMult0","Truly Liable MutOptLiability2",0.0508,0,0.0508,0.61811,1,1,0,0.0551181,0.833333,0.166667,0.00783022,0.00790788,0,,,,,0,0,0.137795,0.354331,,,,,0,,,,,0,0,1,0.700787,1070080,929921,1070080,929921,0,0,29921.3,0,0,0,,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.299213,0.700787
"CostsMult0","Truly Liable MutOptLiability1",0.1054,0,0.1054,0.675522,1,1,0.0208729,0.273245,0.833333,0.166667,0.00842203,0.0100494,0,,,,,0,0,0.184061,0.531309,,,,,0,,,,,0,0,1,0.724858,1072490,927514,1072490,927514,0,0,27514.2,0,0,0,,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.275142,0.724858
"CostsMult0","Truly Liable MutOptLiability0",0.162,0,0.162,0.659671,1,1,0.0839506,0.332099,0.807692,0.248718,0.020952,0.0453659,0,,,,,0,0,0.224691,0.661728,,,,,0,,,,,0,0,1,0.733333,1073330,926667,1073330,926667,0,0,26666.7,0,0,0,,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.266667,0.733333
"CostsMult0","Truly Liable MutOptLiability-1",0.1014,0,0.1014,0.688363,1,1,0.0887574,0.337278,0.79703,0.328383,0.0288378,0.0738351,0,,,,,0,0,0.301775,0.792899,,,,,0,,,,,0,0,1,0.759369,1075940,924063,1075940,924063,0,0,24063.1,0,0,0,,0,0,0,1,0,-1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.240631,0.759369
"CostsMult0","Truly Liable MutOptLiability-2",0.0496,0,0.0496,0.624328,1,1,0.169355,0.455645,0.75,0.322115,0.0533795,0.080814,0,,,,,0,0,0.471774,0.822581,0.738095,0.214286,0.0841626,0.0814551,0,,,,,0,0,1,0.653226,1065320,934677,1065320,934677,0,0,34677.4,0,0,0,,0,0,0,1,0,-2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.346774,0.653226
"CostsMult0","Truly Liable MutOptLiability-3",0.0136,0,0.0136,0.615196,1,1,0.382353,0.411765,0.689922,0.325581,0.0784471,0.103765,0,,,,,0,0,0.617647,0.926471,0.733333,0.466667,0.0838742,0.0432244,0,,,,,0,0,1,0.691176,1069120,930882,1069120,930882,0,0,30882.4,0,0,0,,0,0,0,1,0,-3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.308824,0.691176
"CostsMult0","Truly Liable MutOptLiability-4",0.001,0,0.001,0.566667,1,1,0.6,0.6,0.633333,0.333333,0.135435,0.11579,0,,,,,0,0,1,1,0.5,0.444444,0.103623,0.0491287,0.4,,,,,0,0,0.6,0.666667,1060000,940000,1060000,940000,0,0,40000,0,0,0.4,50000,0,0,0,1,0,-4,0,1,0,1,0,1,0,1,0,1,0,0.4,0.6,0,0.6,0,0.6,0,0.2,0.4
