"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"Truly Liable MutOptLiability-2",0.015,0,0.01504,0.551862,1,1,1,1,0.523936,0.698582,0.0523487,0.0370683,0.986702,,,,,0,0,1,1,0.566667,0.6,0.0466907,0.0981789,0.0106383,,,,,0,0,0.00266,1,1071910,887606,1071910,887606,40478.7,21855.1,32626.3,0,0,0.99734,91866.7,0,0,0,1,0,-2,1,1,0,0,0.986702,0,0,0.0106383,0,0,0,0.0026596
"Truly Liable MutOptLiability-3",0.0007,0,0.00068,0.529412,1,1,1,1,0.245098,0.754902,0.0568216,0.0282709,1,,,,,0,0,1,1,,,,,0,,,,,0,0,0,,1055000,905000,1055000,905000,40000,12941.2,44705.9,0,0,1,75000,0,0,0,1,0,-3,1,1,0,0,1,0,0,0,0,0,0,0
"Truly Liable MutOptLiability-4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable MutOptLiability-5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Not Liable MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Not Liable MutOptLiability4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Not Liable MutOptLiability3",0.0008,0,0.0008,0.458333,1,1,1,1,0.833333,0.166667,0.0150811,0.0171964,0,,,,,0,0,1,1,0.816667,0.183333,0.0233036,0.0209749,0,,,,,0,0,1,0.5,1065000,835001,1065000,835001,100000,165000,0,0,0,0,,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0.5,0.5
"Truly Not Liable MutOptLiability2",0.0146,0,0.01464,0.443078,1,1,1,1,0.831056,0.197177,0.0218177,0.0298515,0.0437158,,,,,0,0,1,1,0.791429,0.22,0.0336031,0.0285846,0.0273224,,,,,0,0,0.928962,0.370588,1030270,873170,1030270,873170,96557.4,126830,0,0,0,0.0710383,125000,0,0,0,0,0,2,1,1,0,0,0.0437158,0,0,0.0273224,0,0,0.584699,0.344262
"Truly Not Liable MutOptLiability1",0.1056,0,0.1056,0.375316,1,1,1,1,0.658649,0.253598,0.0449893,0.0369158,0.379545,,,,,0,0,1,1,0.589438,0.264449,0.0590915,0.0456036,0.219318,,,,,0.000378788,0.000378788,0.400379,0.413434,1026810,902562,1026810,902562,70625,97438.2,0,0,0,0.598864,52063.6,0.000378788,0.000378788,0,0,0,1,1,1,0,0,0.379545,0,0,0.219318,0.000378788,0.000378788,0.234848,0.16553
"Truly Not Liable MutOptLiability0",0.2599,0,0.25992,0.311763,0.999692,0.999538,1,1,0.411573,0.266821,0.0378111,0.0343925,0.773469,,,,,0,0.000153894,1,1,0.494777,0.338442,0.0734214,0.0683181,0.128347,,,,,0.000307787,0,0.097261,0.488924,1023350,926976,1023350,926976,49677.6,73024.3,0,0,0,0.901816,44933.9,0.000307787,0.000153894,0,0,0,0,0.999692,0.999538,0.000307787,0.000153894,0.773469,0,0.000153894,0.128347,0.000307787,0,0.0497076,0.0475531
