"Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"LiabStr 1 DamStr 3",0.0393,1,0.0111902,0.98881,1093.59,952186,947814,1,0.203099,0,0,0,0,0,0,0,0,0,0,1,0,0,0.81587,0.179044,0.00508647,0,0,0.774161,0.222787,0.00305188,0,0
"LiabStr 1 DamStr 4",0.0412,1,0.0174927,0.982507,2186.59,954372,945628,1,0.212603,0,0,0,0,0,0,0,0,0,0,0,1,0,0.817298,0.179786,0.00291545,0,0,0.793975,0.201166,0.00485909,0,0
"LiabStr 1 DamStr 5",0.0388,1,0.0144181,0.985582,2008.24,954016,945984,1,0.20062,0,0,0,0,0,0,0,0,0,0,0,0,1,0.808445,0.188465,0.0030896,0,0,0.7724,0.219361,0.00823893,0,0
"LiabStr 2",0.1605,1,0.128582,0.871418,13194.6,976388,923612,0,0,1,1,0,0,0,0,0,0,0.19387,0.203588,0.210815,0.202093,0.189634,0.190132,0.60005,0.205333,0.00448542,0,0.192624,0.59382,0.208323,0.00523299,0
"LiabStr 2 DamStr 1",0.0311,1,0.118252,0.881748,7326.48,964652,935348,0,0,1,0.19387,0,0,0,0,0,0,1,0,0,0,0,0.178663,0.616967,0.203085,0.00128535,0,0.178663,0.615681,0.199229,0.00642674,0
"LiabStr 2 DamStr 2",0.0327,1,0.143207,0.856793,11811.5,973622,926378,0,0,1,0.203588,0,0,0,0,0,0,0,1,0,0,0,0.179927,0.588739,0.226438,0.00489596,0,0.216646,0.5459,0.233782,0.00367197,0
"LiabStr 2 DamStr 3",0.0338,1,0.117021,0.882979,11909,973817,926183,0,0,1,0.210815,0,0,0,0,0,0,0,0,1,0,0,0.228132,0.574468,0.192671,0.00472813,0,0.187943,0.605201,0.20331,0.0035461,0
"LiabStr 2 DamStr 4",0.0324,1,0.134402,0.865598,16707.8,983415,916585,0,0,1,0.202093,0,0,0,0,0,0,0,0,0,1,0,0.193588,0.626387,0.175092,0.00493218,0,0.182491,0.59926,0.212084,0.00616523,0
"LiabStr 2 DamStr 5",0.0304,1,0.130092,0.869908,18364,986727,913273,0,0,1,0.189634,0,0,0,0,0,0,0,0,0,0,1,0.166886,0.595269,0.231275,0.0065703,0,0.197109,0.604468,0.191853,0.0065703,0
"LiabStr 3",0.28,1,0.506787,0.493213,49199.9,1048400,851601,0,0,0,0,1,1,0,0,0,0,0.193885,0.196885,0.199028,0.208458,0.201743,0.00457208,0.196742,0.585369,0.207458,0.00585798,0.00628661,0.198743,0.587798,0.2016,0.00557222
"LiabStr 3 DamStr 1",0.0543,1,0.507738,0.492262,28979.4,1007960,892042,0,0,0,0,1,0.193885,0,0,0,0,1,0,0,0,0,0.00221076,0.224024,0.605011,0.162122,0.00663228,0.00515844,0.201179,0.586588,0.198968,0.00810612
