"OptionSet","Exploit","Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 3 Dam 3",0.1332,0.0399113,0.790466,0.0254989,0.00997783,0.134146
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 3 Dam 4",0.043,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 3 Dam 5",0,,,,,
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 4 Dam 1",0.1304,0.0011325,0.715742,0.0215176,0.261608,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 4 Dam 2",0.0003,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 4 Dam 3",0,,,,,
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 4 Dam 4",0.0001,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 4 Dam 5",0.0004,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 5 Dam 1",0,,,,,
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 5 Dam 2",0.0001,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 5 Dam 3",0.0001,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 5 Dam 4",0.0001,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 5 Dam 5",0.0001,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","All",1,0.363848,0.492505,0.0500655,0.0276525,0.0659293
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 1 Dam 1",0.0063,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 1 Dam 2",0.0086,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 1 Dam 3",0.0183,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 1 Dam 4",0.0297,0.995098,0,0.00490196,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 1 Dam 5",0.0346,0.995798,0.00420168,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 2 Dam 1",0.0464,0.0501567,0.949843,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 2 Dam 2",0.052,0.109244,0.890756,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 2 Dam 3",0.0652,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 2 Dam 4",0.0875,0.998336,0,0,0.00166389,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 2 Dam 5",0.1032,0.99859,0.00141044,0,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 3 Dam 1",0.122,0.00954654,0.879475,0.110979,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 3 Dam 2",0.1154,0.00126103,0.901639,0.0970996,0,0
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 3 Dam 3",0.1316,0.0121681,0.785398,0.108407,0.00110619,0.0929204
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 3 Dam 4",0.0525,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 3 Dam 5",0.0001,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 4 Dam 1",0.1257,0.00115741,0.693287,0.0868056,0.217593,0.00115741
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 4 Dam 2",0.0001,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 4 Dam 3",0,,,,,
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 4 Dam 4",0.0001,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 4 Dam 5",0.0001,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 5 Dam 1",0,,,,,
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 5 Dam 2",0.0001,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 5 Dam 3",0,,,,,
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 5 Dam 4",0.0001,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","DSignal Liab 5 Dam 5",0.0001,0,0,0,0,1
"bothhighcosts","0.003821785712785888","All",1,0.090112,0.0603994,0.773989,0.0730638,0.00243546
"bothhighcosts","0.003821785712785888","DSignal Liab 1 Dam 1",0,,,,,
"bothhighcosts","0.003821785712785888","DSignal Liab 1 Dam 2",0.0005,1,0,0,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 1 Dam 3",0.0019,1,0,0,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 1 Dam 4",0.0058,0.916667,0.0833333,0,0,0
