"OptionSet","Exploit","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"liablowcosts","0.0004570264838987787","MutOptLiability-4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","MutOptLiability-5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability3",0.0007,0,0.00072,0.518519,1,1,0,0,,,,,0,,,,,0,0,0.111111,0.388889,,,,,0,,,,,0,0,1,0.555556,1043890,932778,1043890,932778,23333.3,6481.48,56111.1,0,0,0,,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0.444444,0.555556
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability2",0.0125,0,0.01248,0.586004,1,1,0.0448718,0.153846,0.833333,0.166667,0.00760692,0.00699223,0,,,,,0,0,0.185897,0.557692,,,,,0,,,,,0,0,1,0.717949,1060130,916538,1060130,916538,23333.3,8376.07,39871.8,0,0,0,,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0.282051,0.717949
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability1",0.109,0,0.10904,0.62766,0.999633,0.999633,0.115554,0.487161,0.792778,0.266111,0.0374979,0.0229561,0,,,,,0.000366838,0,0.319883,0.723404,,,,,0,,,,,0.000366838,0,0.998899,0.719427,1060200,916477,1060200,916477,23318,8384.08,39795.5,0,0,0,,0.000733676,0,0,1,0,1,0.999633,0.999633,0.000366838,0,0,0.000366838,0,0,0.000366838,0,0.280264,0.718635
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability0",0.2582,0,0.25824,0.679652,0.984201,0.506506,0.128872,0.248141,0.726867,0.368326,0.0577653,0.0414061,0,,,,,0,0.000154895,0.321252,0.416822,0.674797,0.308943,0.0384106,0.0392531,0.000619579,,,,,0.000154895,0,0.505576,0.613664,1071350,915244,1071350,915244,13403.8,3620.53,28647.6,0,0,0.00061958,64583.3,0.000154895,0.000154895,0,1,0,0,0.984201,0.506506,0.0157993,0.477695,0,0,0.000154895,0.000619579,0.000154895,0,0.195322,0.310254
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability-1",0.107,0,0.10696,0.637746,0.963725,0.511593,0.270007,0.318624,0.589724,0.448874,0.0534152,0.0522897,0.00336574,,,,,0.000373972,0.000747943,0.495886,0.49626,0.607881,0.440568,0.0209971,0.0179151,0.0931189,,,,,0.000373972,0,0.413613,0.560579,1066520,920712,1066520,920712,12768.6,2709.42,33481.1,0,0,0.0964847,53714.5,0.000747943,0.000747943,0,1,0,-1,0.963725,0.511593,0.0362752,0.452132,0.00336574,0.000373972,0.000747943,0.0931189,0.000373972,0,0.18175,0.231862
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability-2",0.0121,0,0.01208,0.587748,0.887417,0.327815,0.294702,0.307947,0.5,0.506803,0.0459329,0.0393412,0.261589,,,,,0,0,0.0629139,0.0662252,0.5,0.5,0.0308279,0.0193522,0.0562914,,,,,0,0,0.009934,0.666667,1068600,925317,1068600,925317,6087.2,77.2627,31404.5,0,0,0.317881,50173.6,0,0,0,1,0,-2,0.887417,0.327815,0.112583,0.559603,0.261589,0,0,0.0562914,0,0,0.00331126,0.0066225
"liablowcosts","0.0004570264838987787","Truly Liable MutOptLiability-3",0.0005,0,0.00048,0.5,0.416667,0,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,1040280,958333,1040280,958333,1388.89,0,59722.2,0,0,0,,0,0,0,1,0,-3,0.416667,0,0.583333,0.416667,0,0,0,0,0,0,0,0
